COUNT,FOR_TEN,FOR_CATEGO,STATE,FOR_BURNS,FOR_BURN_T
89626,PRIV,Native forest,NT,2,Unplanned burns only
271185,PRIV,Native forest,NT,2,Unplanned burns only
1300,PRIV,Native forest,NT,2,Unplanned burns only
70,OCL,Native forest,Qld,1,Unplanned burns only
379,OCL,Native forest,Qld,3,Unplanned burns only
114,PRIV,Native forest,NT,2,Unplanned burns only
654,OCL,Native forest,Qld,1,Unplanned burns only
1198,PRIV,Native forest,NT,1,Unplanned burns only
304,PRIV,Native forest,NT,2,Unplanned burns only
346,PRIV,Native forest,NT,2,Unplanned burns only
10,OCL,Native forest,Qld,3,Unplanned burns only
32,OCL,Native forest,Qld,2,Unplanned burns only
931,OCL,Native forest,Qld,1,Unplanned burns only
8565953, ,Non-forest,NT,-9, 
137820,PRIV,Native forest,NT,1,Unplanned burns only
4741,PRIV,Native forest,NT,1,Unplanned burns only
4803,PRIV,Native forest,NT,1,Unplanned burns only
848,PRIV,Native forest,NT,2,Unplanned burns only
1892,PRIV,Native forest,NT,1,Unplanned burns only
233618,PRIV,Native forest,NT,0,Forest not burnt
105537,PRIV,Native forest,NT,1,Unplanned burns only
3664,PRIV,Native forest,NT,1,Unplanned burns only
64595,PRIV,Native forest,NT,0,Forest not burnt
8212,PRIV,Native forest,NT,0,Forest not burnt
38,OCL,Native forest,Qld,2,Unplanned burns only
1305,OCL,Native forest,Qld,2,Unplanned burns only
2477,PRIV,Native forest,NT,1,Unplanned burns only
171,PRIV,Native forest,NT,2,Unplanned burns only
143,OCL,Native forest,Qld,1,Unplanned burns only
1,OCL,Native forest,Qld,2,Unplanned burns only
5,OCL,Native forest,Qld,2,Unplanned burns only
73,OCL,Native forest,Qld,1,Unplanned burns only
127,OCL,Native forest,Qld,0,Forest not burnt
324,OCL,Native forest,Qld,0,Forest not burnt
52,PRIV,Native forest,NT,2,Unplanned burns only
2,OCL,Native forest,Qld,1,Unplanned burns only
1585,PRIV,Native forest,NT,1,Unplanned burns only
142517, ,Non-forest,NT,-9, 
742336,PRIV,Native forest,Qld,0,Forest not burnt
995,PRIV,Native forest,Qld,1,Unplanned burns only
48756,PRIV,Native forest,NT,2,Unplanned burns only
868,PRIV,Native forest,NT,2,Unplanned burns only
312,PRIV,Native forest,NT,2,Unplanned burns only
610,PRIV,Native forest,NT,2,Unplanned burns only
605,PRIV,Native forest,NT,2,Unplanned burns only
46,OCL,Native forest,Qld,3,Unplanned burns only
541,OCL,Native forest,Qld,2,Unplanned burns only
339,OCL,Native forest,Qld,1,Unplanned burns only
32655,PRIV,Native forest,NT,1,Unplanned burns only
48356, ,Non-forest,NT,-9, 
384,OCL,Native forest,Qld,3,Unplanned burns only
582,OCL,Native forest,Qld,0,Forest not burnt
59109,PRIV,Native forest,NT,0,Forest not burnt
22837,PRIV,Native forest,NT,2,Unplanned burns only
101675,PRIV,Native forest,NT,2,Unplanned burns only
288,PRIV,Native forest,NT,2,Unplanned burns only
81,OCL,Native forest,Qld,2,Unplanned burns only
608,PRIV,Native forest,NT,2,Unplanned burns only
265,PRIV,Native forest,NT,1,Unplanned burns only
2755,OCL,Native forest,Qld,2,Unplanned burns only
56895,PRIV,Native forest,NT,1,Unplanned burns only
1011,PRIV,Native forest,NT,1,Unplanned burns only
6638,PRIV,Native forest,NT,1,Unplanned burns only
1,OCL,Native forest,Qld,2,Unplanned burns only
200,PRIV,Native forest,NT,1,Unplanned burns only
102708,PRIV,Native forest,NT,1,Unplanned burns only
83,PRIV,Native forest,NT,2,Unplanned burns only
669,PRIV,Native forest,NT,0,Forest not burnt
6,PRIV,Native forest,NT,2,Unplanned burns only
20714,PRIV,Native forest,NT,0,Forest not burnt
81,OCL,Native forest,Qld,2,Unplanned burns only
42,OCL,Native forest,Qld,2,Unplanned burns only
11021,PRIV,Native forest,NT,1,Unplanned burns only
163171, ,Non-forest,NT,-9, 
219,PRIV,Native forest,NT,1,Unplanned burns only
412,PRIV,Native forest,NT,1,Unplanned burns only
1093,PRIV,Native forest,NT,1,Unplanned burns only
137870,PRIV,Native forest,NT,2,Planned and Unplanned burns
2,OCL,Native forest,Qld,2,Unplanned burns only
2197,OCL,Native forest,Qld,1,Unplanned burns only
887,PRIV,Native forest,NT,1,Unplanned burns only
4,OCL,Native forest,Qld,1,Unplanned burns only
420,PRIV,Native forest,NT,2,Unplanned burns only
32948, ,Non-forest,NT,-9, 
15456,PRIV,Native forest,Qld,0,Forest not burnt
37,OCL,Native forest,Qld,1,Unplanned burns only
24,PRIV,Native forest,NT,1,Unplanned burns only
977,PRIV,Native forest,NT,2,Planned and Unplanned burns
1401,PRIV,Native forest,NT,2,Planned and Unplanned burns
82,OCL,Native forest,Qld,1,Unplanned burns only
26,OCL,Native forest,Qld,1,Unplanned burns only
5,OCL,Native forest,Qld,2,Unplanned burns only
3091,PRIV,Native forest,NT,0,Forest not burnt
153499,PRIV,Native forest,NT,2,Planned and Unplanned burns
57764,PRIV,Native forest,NT,2,Planned and Unplanned burns
55297,PRIV,Native forest,NT,2,Planned and Unplanned burns
3627,PRIV,Native forest,NT,1,Unplanned burns only
24,OCL,Native forest,Qld,2,Unplanned burns only
5657,PRIV,Native forest,NT,1,Unplanned burns only
9764,PRIV,Native forest,NT,3,Planned and Unplanned burns
21276,PRIV,Native forest,NT,3,Planned and Unplanned burns
